id;title;author;authoryearofbirth;authoryearofdeath;language;downloads;subjects;type;alpha_pdf;total_words;unique_words
PG0;;;;;;;set();Text;"""There is no item named 'SPGC-counts-2018-07-18/PG0_counts.txt' in the archive"""
PG1;The Declaration of Independence of the United States of America;Jefferson, Thomas;1743;1826;['en'];604;{'United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence'};Text;0.9159331352609286;6341;1385
PG2;The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States;United States;;;['en'];158;{'Civil rights -- United States -- Sources', 'United States. Constitution. 1st-10th Amendments'};Text;0.6728597464111586;546;248
PG3;John F. Kennedy's Inaugural Address;Kennedy, John F. (John Fitzgerald);1917;1963;['en'];28;{'Presidents -- United States -- Inaugural addresses', 'United States -- Foreign relations -- 1961-1963'};Text;0.730846834013354;1362;535
id;title;author;authoryearofbirth;authoryearofdeath;language;downloads;subjects;type;alpha_pdf;total_words;unique_words
PG0;;;;;;;set();Text;"""There is no item named 'SPGC-counts-2018-07-18/PG0_counts.txt' in the archive"""
PG1;The Declaration of Independence of the United States of America;Jefferson, Thomas;1743;1826;['en'];604;{'United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence'};Text;0.9159331352609286;6341;1385
PG2;The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States;United States;;;['en'];158;{'Civil rights -- United States -- Sources', 'United States. Constitution. 1st-10th Amendments'};Text;0.6728597464111586;546;248
PG3;John F. Kennedy's Inaugural Address;Kennedy, John F. (John Fitzgerald);1917;1963;['en'];28;{'Presidents -- United States -- Inaugural addresses', 'United States -- Foreign relations -- 1961-1963'};Text;0.730846834013354;1362;535
id;title;author;authoryearofbirth;authoryearofdeath;language;downloads;subjects;type;alpha_pdf;total_words;unique_words
PG0;;;;;;;set();Text;"""There is no item named 'SPGC-counts-2018-07-18/PG0_counts.txt' in the archive"""
PG1;The Declaration of Independence of the United States of America;Jefferson, Thomas;1743;1826;['en'];604;{'United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence'};Text;0.9159331352609286;6341;1385
PG2;The United States Bill of Rights: The Ten Original Amendments to the Constitution of the United States;United States;;;['en'];158;{'Civil rights -- United States -- Sources', 'United States. Constitution. 1st-10th Amendments'};Text;0.6728597464111586;546;248
PG3;John F. Kennedy's Inaugural Address;Kennedy, John F. (John Fitzgerald);1917;1963;['en'];28;{'Presidents -- United States -- Inaugural addresses', 'United States -- Foreign relations -- 1961-1963'};Text;0.730846834013354;1362;535
PG4;Lincoln's Gettysburg Address: Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA;Lincoln, Abraham;1809;1865;['en'];55;"{'Consecration of cemeteries -- Pennsylvania -- Gettysburg', 'Lincoln, Abraham, 1809-1865. Gettysburg address', ""Soldiers' National Cemetery (Gettysburg, Pa.)""}";Text;0.6495422958399415;352;177
PG5;The United States Constitution;United States;;;['en'];226;{'United States. Constitution', 'United States -- Politics and government -- 1783-1789 -- Sources'};Text;0.9430273118315022;4720;990
PG6;Give Me Liberty or Give Me Death;Henry, Patrick;1736;1799;['en'];54;{'United States -- Politics and government -- 1775-1783 -- Sources', 'Speeches, addresses, etc., American', 'Virginia -- Politics and government -- 1775-1783 -- Sources'};Text;0.7643159283372742;1277;479
PG7;The Mayflower Compact;;;;['en'];24;{'Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources', 'Pilgrims (New Plymouth Colony)', 'Mayflower Compact (1620)'};Text;0.5286936854715794;340;203
PG8;Abraham Lincoln's Second Inaugural Address;Lincoln, Abraham;1809;1865;['en'];25;{'United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses'};Text;0.649227373334691;757;358
PG9;Abraham Lincoln's First Inaugural Address;Lincoln, Abraham;1809;1865;['en'];36;{'United States -- Politics and government -- 1861-1865', 'Presidents -- United States -- Inaugural addresses'};Text;0.8571780935534332;3684;1020
PG10;The King James Version of the Bible;;;;['en'];3818;{'Bible'};Text;1.6252108286794436;789996;12561
PG11;Alice's Adventures in Wonderland;Carroll, Lewis;1832;1898;['en'];16547;{'Fantasy literature'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG11_counts.txt' in the archive"""
PG12;Through the Looking-Glass;Carroll, Lewis;1832;1898;['en'];3033;{'Fantasy literature'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG12_counts.txt' in the archive"""
PG13;The Hunting of the Snark: An Agony in Eight Fits;Carroll, Lewis;1832;1898;['en'];254;{'Nonsense verses, English'};Text;"""There is no item named 'SPGC-counts-2018-07-18/PG13_counts.txt' in the archive"""
