"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1910;8.74685104265419;10.4342751052246;-0.995880124776914;-0.437391042407596;-0.317594041531436;17.1656900487129
"Double Breakpoint R";"eng-gb";1800;8.24502654054356;9.83187101117973;-0.985706542837504;-0.357473530848387;-0.361308707880658;15.7045159995995
"Double Breakpoint R";"eng-gb";1801;8.28927579674339;9.80646612090068;-0.995100740565214;-0.378436630332847;-0.385659507993276;16.0456194903935
"Double Breakpoint R";"eng-gb";1802;8.24113000434189;9.78269475991959;-0.970865622317522;-0.410348874732066;-0.388496561347922;15.6921466109336
"Double Breakpoint R";"eng-gb";1803;8.25257525786036;9.8284943591263;-0.996755782060588;-0.380915638691152;-0.398960146197291;16.0131233089058
"Double Breakpoint R";"eng-gb";1804;8.21225345184245;9.72580948229508;-0.976397412387502;-0.392772163863861;-0.37735193002937;15.8372982443547
"Double Breakpoint R";"eng-gb";1805;8.29369493289866;9.80518868019142;-0.986088955174493;-0.395972167615761;-0.361305150421915;16.0462452326897
"Double Breakpoint R";"eng-gb";1806;8.26611924524185;9.74052957696918;-0.982061924407104;-0.361442354972465;-0.407172502225733;16.1819073573471
"Double Breakpoint R";"eng-gb";1807;8.33164752351847;9.79597432463327;-0.982756248411996;-0.365365781681978;-0.371838882904469;16.278935378993
"Double Breakpoint R";"eng-gb";1808;8.29562643738095;9.86755012868298;-1.00695773217088;-0.371179737470157;-0.363672467485208;16.423510987525
"Double Breakpoint R";"eng-gb";1809;8.27747603624501;9.81048849052337;-0.992053015545757;-0.384896763827521;-0.374834811135254;16.2455992180104
"Double Breakpoint R";"eng-gb";1810;8.38082713910029;9.92684592567887;-0.991372884089722;-0.368857652956994;-0.369724322140741;16.6457269785936
"Double Breakpoint R";"eng-gb";1811;8.35337281985372;9.88617163512128;-1.01240953242116;-0.395194534837336;-0.379770436930124;16.5488373691753
"Double Breakpoint R";"eng-gb";1812;8.23076011837976;9.72518602690532;-1.00854359408525;-0.3784538801021;-0.380080144310897;16.6448817211636
"Double Breakpoint R";"eng-gb";1813;8.21453932863274;9.76203778813495;-0.98939113659877;-0.356000349514745;-0.447520920363984;16.4064854381369
"Double Breakpoint R";"eng-gb";1814;8.22941061892467;9.71202832233516;-0.992157167593325;-0.377861998386844;-0.36660052975781;16.3606680373307
"Double Breakpoint R";"eng-gb";1815;8.20553576643964;9.78367262252643;-0.99076546291191;-0.389563148109286;-0.394265664543071;16.3388558105126
"Double Breakpoint R";"eng-gb";1816;8.29455566319291;9.79133685438037;-0.987031843807881;-0.399911215397146;-0.413495531523019;16.3617349621032
"Double Breakpoint R";"eng-gb";1817;8.19906582854353;9.73067552416024;-0.984850646680327;-0.415549055168338;-0.403187001247156;16.3567280631431
"Double Breakpoint R";"eng-gb";1818;8.27154544827109;9.73902455512012;-0.983470781599227;-0.412948063302876;-0.378851470444761;16.3645182474395
"Double Breakpoint R";"eng-gb";1819;8.25664510099685;9.76426741081363;-0.984779818873695;-0.403696405174623;-0.38719725063232;16.2872475617263
"Double Breakpoint R";"eng-gb";1820;8.2519336670131;9.74428194320875;-0.991095994062627;-0.419730961493983;-0.422359050782935;16.7059797212448
"Double Breakpoint R";"eng-gb";1821;8.34877344630105;9.82376996919175;-0.992633332450961;-0.379638205457521;-0.379428281065435;16.5079932549945
